,평점,일시,감상평
72,8,2020.06.04 16:33,영화 긴장감 있고 잼있음..간혹 잦은 화면 전환으로 인해편두통이 올 수도 있음
73,10,2020.06.05 09:41,오래간만에 극장에서 큰 화면으로 영화보니까 너무 좋았어요!
74,10,2020.06.04 17:23,역시 지효누님 연기 엄청 잘하세요.
75,10,2020.06.04 16:11,송지효 김무열 연기가 영화를 다 끌고간듯. 배우들 연기가 엄청 뛰어나고 좋았음. 미스터리 스릴러 장르 좋아하면 더더욱 재미있고 스토리자체도 재미있고 흥미로움. 마지막엔 반전 아닌 반전 있음.
76,10,2020.06.04 13:15,'이시국'에 보기 딱인 영화는 이럴 때 쓰는거구나
77,10,2020.06.04 22:32,오랜만에 극장가서 보니 긴장감 만땅 ㅎㅎㅎ
78,10,2020.06.04 19:47,너무 재밌게 봤습니다 긴장하면서 보느라 좀 힘들었네요 연기도 좋았어요!
79,7,2020.06.04 22:58,연기는 대박인데 스토리가 영.. 너무 난잡했음 이시국 영화는 확실함
80,10,2020.06.04 21:07,송지효의 낮은 발성이 빛을 발한 연기인듯이렇게 연기를 잘하는 배우였구나를 알게 해주었음 김무열은 말안해도 그냥 잘함ㅋㅋㅋ
81,10,2020.06.04 16:20,"긴장감이 넘치는 배경음악에 놀라고, 송지효의 연기에 또 놀라고 ! 소름이 끼칠 정도로 정말 스릴 넘쳤다. 미스터리 최고!"
82,10,2020.06.04 15:39,와 진짜 오랜만에 영화보는건데 너무 재밌게 봄....그리고 송지효가 드디어 자기 옷 찾은 것 같았음 스릴러 연기 진짜 개찰떡임 연기 너무 잘해서 놀람 근데 김무열 연기도 진짜 대박임...와...김무열 연기 감탄 밖에 안 나와요ㅋㅋ 스토리도 좋았어요 
83,8,2020.06.04 18:10,마지막 진짜 친동생이였을지도모른다는 생각이..열린결말이지만 오랜만에 나쁘지않은 영화였음
84,10,2020.06.04 19:52,송지효배우님하고 김무열배우님의 연기 잘 봤습니다 진짜 보면서 긴장감이 얼마나 되던지 되게 오묘한 느낌으로 감상했어요 진짜 사이비 이단의 심각성을 더 알게된 영화였어요 진짜 이런게 많이 사라져야 하는데....
85,10,2020.06.04 18:50,분위기부터가 미쳤던데;; 연기 다들 잘하고 심장 졸이면서 봤음ㅠㅠ
