,평점,일시,감상평
900,6,2020.06.10 02:12,영화는 재미있는데 대본 연출이 뭔가 부족하고 너무 빠르게 전개됨
901,10,2020.06.09 23:33,오랫동안 기다렸다가 본 영환데 만족ㅋㅋㅋ 무섭기도 하고 재밌었습니당
902,10,2020.06.09 22:45,재밌다.
903,7,2020.06.09 18:41,연출은 매우 훌륭하고 연기또한 상당히 만족스러웠지만 뜬금없는 이단교가 갑자기 후반에 한방에 등장하고 몇몇 조연출 배우들은 엉망스러웠다.. 초중반까진 흥미진진하고 결말을예측하기 어려웠던 스토리
904,10,2020.06.09 13:50,지효언니 연기를 너무 잘 해서 런닝맨에서의 지효 언니랑 너무 매칭이 안 됐어용 ㅎㅎ진짜 재밌게 봤어요 굿굿 코로나 때문에 더 흥 할 수 있는데 안타까울 따름입니다ㅜㅜ 나중에 코로나 잠잠해지면 더 많은 사람들 볼 수 있게 재상영 해도 좋을 것 같아용 저는 재상영하게 되면 또 다시 보러 가겠습니다♥? 
905,1,2020.06.09 02:43,".,.,.,.,ㅋㅋㅋ"
906,8,2020.06.08 17:36,"초반에는 긴장감도 좋고 흥미진진하게 전개되다가 반전 나오면서 텐션도 떨어지고 약간 전형적인 엔딩루트 밟는게 보여서 지루해짐. 킬링타임용으로 무난한 영화라고 생각하는게, 막 못만들지는 않았는데 그렇다고 수작이라고 하긴 애매함. 송지효랑 김무열 연기는 엄청 잘함 송지효 클로즈업 한번 잡힐 때 마다 진짜 너무 예쁨ㅠ "
907,5,2020.06.08 17:11,"정말 기가막히는 배우분들 연기력에 10점, 참...어이없어서 기가막히는 진실에 0점해서 5점"
908,7,2020.06.08 10:01,중반 이후 영화가 산으로 가다~~~
909,10,2020.06.08 08:20,배우분들의 연기시너지가 정말 좋았어요!!! 그리고 송지효언니의 서늘한 표정과 톤이 최고였어요!!!
910,5,2020.06.08 00:05,"초중반까지 히치콕의 발끝은 따라가던 서스펜스에, 난데없이, 어색하게 침입한 진부한 소재. 전반적으로 여러 익숙한 작품들을 연상시키지만, &#39;가족&#39;이라는 주제를 끝까지 놓치지 않은 뚝심은 인정. &#34;가족이 맞는가?&#34;로 시작해 &#34;가족으로 받아들일 수 있는가?&#34;로 마치는 질문이 매끄럽지 못한 이음새에도 불구하고 약간의 여운을 남긴다. "
911,8,2020.06.07 20:13,"이젠 부르는것을 벗어나 찾아가는 서비스. 너무 예상대로 가다가도 후반부 급 예상밖, 그누구도 예상할수 없었던, 아니 예상할수없는 전개가 펼쳐진다"
912,8,2020.06.07 20:12,"런닝맨의 멍지효만 생각하고 있었는데, 송지효의 소름돋는 연기에 정말 놀랐습니다. 결말도 열린 결말이라 좋았네요. 악평 때문에 안보시면 후회할지도 모를 괜찮은 영화입니다."
913,10,2020.06.07 19:07,송지효김무열님 연기짱
914,10,2020.06.07 01:22,출연하신 모든 배우님들의 연기력이 정말 최고였어요그 중 송지효배우님 정말 연기 너무 최고 였어요 김무열 배우님은 뭐 연기력 말할필요없이 너무 좋았습니다. 저도 모르게 감정몰입이 되서 너무 힘들었어요.. ㅋㅋ 오랜만에 처음부터 끝까지 긴장하면서 본 영화였어요 정말 잘봤습니다*^^* 
915,10,2020.06.06 22:24,간만에 극장에서 영화봤는데 기대 이상이였네요. 몰입감도 높고 배우들 연기도 좋았고 스토리가 생각보다 신선했네요
916,10,2020.06.06 22:20,김무열씨 연기 좋은데요? ㅋㅋ우와 진짜 너무 재밌게 잘봤습니다
917,10,2020.06.06 22:06,
918,8,2020.06.06 20:23,"별로인 것 같아서 다른 영화 보려다 딱히 끌리는 영화도 없던 차에 그나마 시간이 맞아서 봄. 와ㅡ 근데 몰입도 쩔던데. 기대를 워낙 안 했어서 그런가, 하여간 기대 이상이었고 작가가 상징과 비유로 암시하는 게 있지 않나 싶어 나름 흥미롭게 봄. 영화는 각자 해석하기 나름일 수도 있고, 볼 줄 아는 눈이 있는 자에게 보이는 건 아닐까. 꼭 사이비 종교만이 아니라 어떤 조직이건, 국가건 인간을 서서히 세뇌시키며 광적이거나 무기력한 노예로 만들 수도 있음을 보여주는 측면도 있지 않나 싶었음. 온전하지 못한 이념임에도 왜 인간은 그 따위 사이비에 함몰되는 걸까. 종교든 정치 이념이든간에. 생각하는 동물, 이성적인 동물인 인간이 말이다. 오해하기 딱 좋게 그럴 듯한 증거를 작위적으로 만들 수도 있는 사악한 인간들도 있기에 현상 너머 본질을 통찰해낼 수 있는 능력이 중요함. 통찰력같은 고급능력을 탑재하지 못했으면 여러 가능성을 열어놓고 최소한 경박하게 단정짓지는 말 것. "
919,10,2020.06.06 19:13,진짜 있을 수 있는 일이라서 그런지 더 소름 돋는 영화였음
920,7,2020.06.06 19:12,"현실에서도 일어날법할 스토리 , 좋은연기로 보여주는 긴장감  , 하지만 섬뜩하게만드는 연출이없고 중요한 장면들에서 긴장을 흐르게하는 사운드가 없었던게 아쉽다는느낌이.."
921,4,2020.06.06 18:30,하.. 댕 재미없다 ...
922,10,2020.06.06 18:28,송지효 여고괴담에서 보여준 소름끼치는 연기가 여기서도 빛을 발하네ㅋㅋㅋ 눈빛 연기 대박이였어ㅠㅠ
923,10,2020.06.06 13:53,진짜 송지효 연기가 돋보이는영화구 스토리가 지루하지않아서 내내진지하게보
924,10,2020.06.06 11:12,추리하면서 보다 보니까 어느새 영화는 끝나 있었다..
925,10,2020.06.06 10:54,추리하면서 보다 보니까 어느새 영화는 끝나 있었다..
926,10,2020.06.06 10:49,무섭기도 하고 진짜 있을 법한 이야기라 그런지 인상 깊게 봤다  김무열님 연기 여전히 너무 잘하시네요
927,10,2020.06.06 09:14,간만에 잼난 영화 만났습니다
928,10,2020.06.06 08:54,"몰입감 좋네요, 두시간이 금방 지나갑니다"
929,10,2020.06.06 01:26,와 극장 진짜 오랜만에 갔는데 재밌는 영화도 오랜만에 보네요 진짜 긴장감 쩔고 중간에 갑툭튀 한방에 친구랑 뒤집어짐욬ㅋㅋㅋㅋ뭔가 겟아웃도 생각나고 유전도 생각나고 기억의 밤도 생각나는..! 정말 재밌게보ㅏㅆ엉ㅅ!
930,10,2020.06.05 23:10,백만년만에 영화봤는데 돈이아깝지않네요잘봤습니다
931,5,2020.06.05 22:22,뭔가 엉성해요 솔직히 재미없어요....
932,8,2020.06.05 21:48,나름 볼만하다 !!! 재미있엉
933,8,2020.06.05 20:52,스토리부분에서 아쉬운 부분과 연출이 미흡한점을 연기력이 커버한 영화
934,10,2020.06.05 20:05,최고최고 강추합니데이
935,9,2020.06.05 20:04,좋은 스릴러 물이었고 오랫만의 한국영화라 반가웠네요. 이야기가 신선했네요.
936,10,2020.06.05 02:28,너무 어둡다jihyo unnie의 연기 기술은 미쳤다가치있는 자동차 인 것 같습니다
937,1,2020.06.10 22:45,영화를 보고 기억에 남는장면이 하나도없네요
938,10,2020.06.10 17:20,감독님 첫 영화인걸 생각하면 앞으로가 더 기대됩니다 배우들의 연기가 정말 탁월했습니다ㅎㅎ
939,9,2020.06.10 10:45,자극적인 장면없이 연기와 미장센에 공을 들인게 좋았다
940,6,2020.06.10 08:49,결말이 생각보다 부실하지만 연기는 좋았습니다
941,1,2020.06.10 08:28,이런 사이비종교와 싸이코 영화는 처음본다 싸이코의 적당한걸 모르는건가 진짜 완전  싸이코패스 영화임 보다가 나갈뻔 이영화는 싸이코 영화란걸 잊지마라
942,8,2020.06.09 23:48,오랜만에 새로운 영화 개봉해서 기대하고 봤는데 배우들 연기도 좋고 내용도 꽤 재밌었어요
943,1,2020.06.09 18:23,손학규 딸 드디어 입봉했네?
944,1,2020.06.09 14:58,ㅋㅋㅋㅋ정말 알바많네요 ㅋㅋㅋㅋ
945,10,2020.06.09 11:34,한국 스릴러 영화는 잘안보는데 한국영화 오랜만에 개봉했다길래 보고 왔어요 스릴러물은 외국영화가 짱이라고 생각했는데 한국 스릴러 영화도 많이 발전했네요ㅎㅎㅎ
946,2,2020.06.09 02:47,"본건 있어가지고 스릴 스까 짬뽕에 예측 가능용 헛웃음이ㅋㅋ 의료인이 최면을 시행 하지 않나 경찰이 윽박수사 하지 않나ㅎㅎ 감독은 본인 각본사랑에 현실외면 판타지 소설속에서 사는분이 아닐까? 힘든 코로나 시국에도 한국영화가 간만에 개봉해 큰맘먹고 극장으로 갔으나 이런 준비안된 배신감은 별이 다섯개다. 김무열 배우의 눈떨리는 연기력 때문에 의리로 봤다. 아 빼먹을뻔. 조연들 연기 하나같이 억지스럽다 못해 아마추어 집단같이 캐릭터 파악이 덜됨. 정점은 눈에 띄려는 욕심인지 신인배우의 거북할 정도의 과한연기가 크게 한몫 함 거 후반에 그 미친신봉자, 약쟁이표현이 서툴렀어. 물론 무지한 감독이 오케이 했으니. 극장나오는 순간 여기저기서 탄식이 쏟아졌다는 후기를 남기겠다. 다시 생각해도 짜증난다. 간만에 긴~글 남김. "
947,8,2020.06.08 21:24,오랜만에 극장에서 봤는데 에어컨 때문인지 영화 때문인지 더 춥게 느껴졌네요 잘 봤습니다
948,1,2020.06.08 19:48,긴장감만 높은 답답한 영화
949,8,2020.06.08 19:17,저는 초반보다 중후반부터 더 재미게 본것같아요지효언니 눈빛이 서늘 하고 무서워고 연기도 대박이에요.  김무열배우의 연기가 영화을 더 몰입하게 만들었고 딸을 지키려는 부성애 연기 좋아요그리고 사이비 종교가 나온것 보고 지금 살고 있는 현실에서도 있을것같다는 생각이 들었습니다.결말은 깔끔 하고 괜찮하면서 지저분 하지 않아서요.안보면 후회할 수 있어요 여러분~ 극장으로 고고 
950,1,2020.06.08 13:38,러닝타임너무길고 한부분의반전은대충각 나오고 결말산으로가고 체감 4시간끌고 10분에 모든걸 쏟아부은영화 그나마 연기가 괜찮았고영업당해서 본 나를 후회한다
951,2,2020.06.08 09:15,나만 당할 수 없다....다들 꼭 보세요 ㅋㅋ
952,2,2020.06.08 06:42,재미는 없는데 답답하게 만드는건 잘하네요
953,4,2020.06.08 00:36,클로젯2탄인 줄 알았다.
954,2,2020.06.07 22:15,김무열 혼자 런닝맨 찍는데요? 진짜 너무 시간이 아까운 영화네요 웬만하면 이런 평 안주는데 진짜 심각한 수준 기대 이하의 작품
955,4,2020.06.07 21:13,개연성스토리가없는황당한영화예요돈이아까운..주연남배우의과한연기가몰입을떨어지게하더군요.얼마전에OCN에서방영한구해줘가더잼있었어요
956,9,2020.06.07 19:07,스펙타클한영화였습니다!!!!
957,1,2020.06.07 17:06,제발 보지 마세요ㅠㅠ 연기도 스토리도 연출도 최악임... 네이버 평점 높아서 봤다가 너무 노잼이라 날씨도 더운데 열이나 받았네요.. 돈이랑 시간 아깝다....하...
958,1,2020.06.07 16:34,"기생충과 미드소마, 두 명작을 한국 전통의 양념 &#34;출생의 비밀&#34;을 곁들여 놀랍도록 맛없게 비벼냈다! 관객을 괴롭게하려고 작정한 영화. 후반 존재감없던 조연과 송지효의 오글거리는 설명충 장면이 압권. 개연성도 없이 갑자기 설명타임 들어가길래 저한테 직접 설명해주는줄 알았네요. 송지효 김무열 연기는 잘했음. 배우는 죄가없다. "
959,1,2020.06.07 15:38,스토리 똥. 어거지연출. 환불해서 돈 세절하는게 더 나은영화임
960,2,2020.06.07 13:53,"송지효배우 발음이 대사가 길어지면 길어질수록 뭉개집니다. 안들려요. 김무열배우 역할이 굉장히 바보로 만들어놓아서 스릴감을 전혀 느낄 수 없게 만들어버렸어요. 립스틱만 진해진다고 갑자기 스릴러가 되지는 않죠,, 감독이 하고싶은말은 많은데, 정렬을 하지 못한 영화 같습니다. "
961,6,2020.06.07 10:07,스토리랑 연출 나쁘지않은데도 묘하게 긴장감 없고 지루함조연들 연기가 매우 거슬림
962,4,2020.06.07 02:05,너무너무너무너무짜증나는영화였음정말너무답답한점이많아서 속으로 겁나게 소리지르면서봤던거같음.사이다도없고 고구마감자고구마백만개 너무 보는내내힘들었음.송치효와김무열연기만 짱.스토리 너무너무 다신안볼듯.
963,10,2020.06.06 23:24,보는내내 내가 세뇌당하는거같은 느낌이 들었고 송지효의 그 무덤덤한 표정이 사람을 홀리네요 강추천
964,10,2020.06.06 22:40,와 더도말도 필요없고 무조건 추천 .
965,10,2020.06.06 22:37,긴장감있게 보기 좋은 영화. 하지만 영화 속 복선을 주의깊게 본다면 끝나고 소름돋게 감탄할 영화. 아직 안 보신 분들은 풍선 색깔에 주의해보세요.
966,10,2020.06.06 20:02,꿀잼. 추천. 연기 대박
967,10,2020.06.06 19:47,간만에 한국영화 재밌게 봤습니다~~
968,10,2020.06.06 19:41,진짜 넘넘 재밋음. 배우들 연기도 뛰어나고 안봤음 후회할뻔
969,10,2020.06.06 19:30,연기력은 진짜 두분다 너무 좋아서 보는 내내 몰입했어요 ㅎㅎ
970,5,2020.06.06 19:12,경찰의 오해를 푸는 것도 보여줘야지 그냥 급하게 끝내버리네 ㅋ
971,2,2020.06.06 18:55,최악의 결말을 가진 영화  평점알바때문에 낚여서봤다
972,2,2020.06.06 17:55,"보는내내 겟아웃이랑 유전이 생각났어요. 이런쪽으로 눈치가 빠른편이 아닌데도 충분히 예상이 가는 반전과 결말이었어요. 그나마 배우님들이 연기를 잘하셔서 탈그닥 탈그닥 결말까지 멱살잡고 끌고간 것 같은데, 송지효님과 김무열님은 작품보는 눈이 없는 것 같네요. "
973,2,2020.06.06 17:11,정말 최악이에요 모두가 문제아이 연기 너무 따로 놀아요몰입도 0% 별 하나도 아까워요
974,10,2020.06.06 12:19,미쳤다 .. 보는내내손에땀이 ;;
975,10,2020.06.06 10:06,영화 보면서 추리 잘하면서 보는데 이건 내가 예상했던거와 완전히 다르더라;;ㅋㅋㅋㅋ
976,10,2020.06.06 09:45,가족이라는 익숙한 소재가 소름으로 다가 오기 시작한... 무섭고 섬뜩하고ㅠㅠ
977,10,2020.06.05 09:40,송지효 다르게 보이네요..긴장감대박!!
978,4,2020.06.04 22:21,꽃뱀인줄알앗는데 사이비 갑자기?
979,4,2020.06.04 22:14,"뭔가 열심히 머리를 굴린 것 같은데, 연출의 허점이 너무 많아 나중엔 실소가 나온다. 게다가 작위적인 대사를 하도 많이 쳐서 같은 나라 말인게 더 안와닿더라. 자막으로 보는게 덜 어색했을 것 같음. 배우들은 볼만한데, 뭐 국산영화 언제는 안그랬나.. "
980,1,2020.06.10 22:30,진짜 알바가 존재하는구나.... 진심 스트레스받고 싶으면 보세요....포인트로 봐서 정말 다행임.... 아..스트레스... 감독이 도대체 누구지....
981,9,2020.06.10 21:28,우연히 스포댓글 보고 봤는데..ㅡㅡ 알고 봐도 재밌긴 하더라
982,2,2020.06.10 10:14,40분까지가 영화고 그 후론 막장그자체 ;; 솔직히 연기력은 괜찮은데 스토리텔링 자체가 할말이 안나옴 처음으로 평점 적는데 이건 평점이랑 달라서 적는다. 한줄평- B급 작품에 연기력으로 커버했으나 커버하지못했다.-
983,10,2020.06.10 10:06,스릴보단 긴장감이 쩌는 영화ㅋ 배우들의 연기는 압도적
984,1,2020.06.09 22:07,평점 안넣고 싶은데 최소가 1이라 아쉽네
985,1,2020.06.09 21:39,"개노잼이다. 보지마셈 ㄹㅇ 스토리, 개연성 1도없다."
986,8,2020.06.09 12:17,러닝타임내내  긴장감을 유지한 괜찮은 영화^^
987,10,2020.06.09 11:45,현실감이 느껴지는 스토리였음 배우들 연기도 좋고 재밌게 보고 옴
988,9,2020.06.09 11:44,예상보다 훨씬 볼만합니다~ 스토리 전개도 탄탄해요~
989,1,2020.06.09 11:25,"각본, 연출, 연기 3박자를 고루 갖춘 2020 상반기 최악의 영화. 각 캐릭터들이 한명도 빠짐없이 모두가 따로따로 몰입을 방해하는 나홀로 연기를 선보이며, 개연성 없는 극의 흐름도 실소를 유발한다. 안그래도 코로나의 여파로 텅빈 극장가에 찬물을 끼얹은 이 영화는, 필자가 관람한 월요일 저녁 19:30 강남 cgv 기준 30여명이 관람중 극의 1/2가량 부분에서 5명 정도가 중도포기후 퇴장했고, 필자역시 일행에게 퇴장여부를 상의했다.아마도 이 영화는 출연 배우들의 커리어에서 꽤나 비중있는 오점으로 남을것이 분명하고, 송지효는 이 영화의 성적표를 받아든 뒤, 런닝맨을 엄청나게 열심히 해야 할것으로 보인다.약스포)....영화 초중반에주인공이 집에 들어왔더니, 잃어버렸다가 돌아온 딸인 송지효가 아픈 어머니를 위해 집으로 들인 물리치료사와 가정부가 각각 엄마, 아빠와 뒤엉켜서 굉장히 야릇한 분위기를 ‘치명적인척’ 하는 어설픈 연기로 표현하는 장면이 있다.진짜 이 장면에서 육성으로 웃음혹은 욕이 튀어나오기 쉽상인데, 도대체 연출공부를 유치원에서 한건가 싶은 손가락 끝에 힘이 세게 들어가 오그라드는 미장센이 킬링 포인트. "
990,1,2020.06.08 18:22,진짜 핵노잼.. 5점 말도안돼ㅋㅋ반전도 그닥...뜬금없고 너무 노잼...돈앆가워 ㅠ감상포인트 : (노)스토리
991,10,2020.06.08 01:50,송지효 연기가 개미쳤...
992,2,2020.06.07 23:47,김무열님 연기말고는 할말이 없다
993,2,2020.06.07 21:29,난 정말 이런거 첨남기는데ㅠ오랫만에 영화봤는데 집에가고싶었다억지ㅠ스토리
994,2,2020.06.07 21:24,"일단 개연성 없고 신천지 주제로한 영화나 드라마가 요즘 많은데 이 영화는 신선하게 풀어내지 못한 느낌입니다. 오히려 초반은 긴장감 있었어요. 연기는 송지효, 김무열 두 주연 배우들은 잘 하기는 했지만 아파트에서 김무열 협박하는 남자 역할로 나온 배우는 대사 치는 순간 몰입감이 떨어졌습니다. 전체적으로 개연성이 없고 따로 노는 느낌이 강했고 몰입감도 떨어져서 영화보고 재밌다고 생각은 안들었습니다. "
995,1,2020.06.07 18:08,그냥 똥싸다 끊깅기분임
996,4,2020.06.07 00:11,어떤 무언가를 만들때 첨엔 엄청 집중해서 잘 해나가다가 시간도 없고 다급해져서 집중력 흐트러지면 이걸 망칠수도 없고할때 어떻게든 그냥 마무리를 지어 놓은적 누구나 한번씩 경험이 있죠? 네.. 딱 그 느낌입니다..
997,10,2020.06.06 23:48,송지효 연기 개쩜 분위기 압도..
998,10,2020.06.06 22:11,와 이거 보고 왔는데 진짜진짜 집중 너무 잘됨.. 송지효 연기 미쳤다고 생각들 정도....  와 진짜 너무 잘한다라는 생각들면서 나옴 .. 영화도 재밌구요
999,2,2020.06.06 18:58,영화 제작에 관계된 분 모두 수치심을 느꼈으면 합니다세상에 이딴 쓰레기를 내놓은 것을 부끄러워 하셨으면 합니다차라리 영웅보십쇼
1000,7,2020.06.06 18:17,끝부분 열린 결말 짱남... 언능 누군지 나오길 기다렸는데
1001,10,2020.06.05 10:20,기대를 안하고 봤는데 진짜 내내 긴장하며 봤습니다.. 영화관에 사람이 저랑 엄마뿐이라 더 무서웠고요.. 하 여튼 재밌습니다 정말~!
1002,1,2020.06.10 07:01,"코로나로 상영작이 많지않아 마지못해 봤는데,최근 5년내 최악의 영화임"
1003,2,2020.06.09 22:00,송지효 연기 별론데뭔가 이상해..댓글 .알바같다
1004,10,2020.06.09 10:06,김무열과 송지효의 연기력이 돋보였던 영화! 너무 재밌게 잘 봤어요!
1005,1,2020.06.08 22:15,미친뭐이런영화가다있음 절대보지마십시오
1006,6,2020.06.08 10:41,혹평이 많아서 기대없이 봤는데도.. 노잼이었음. 배우들 열연에 비해 감독의 역량이 부족한건가.  짜임새있는 스토리가 아쉬움.
1007,2,2020.06.07 22:32,제가 김무열이 된 것 같아요. 다들 재밋다고 하시는데 나는 왜 이리 jot 같지...
1008,1,2020.06.07 21:59,ㅋㅋ 저거 좋게 남기는 새끼들 다 알바임진짜 내용 개멋있게 재미없고 보는내내 나갈까 말까 하루종일 고민하고있으니까 영화 끝났어요 이 돈으로 맛있는 밥을 한 번 더 먹지 주차비만 괜히 많이 나오고 개짜증나는 하루임 덕분에 
1009,1,2020.06.07 14:30,1점도 아까움이딴 쓰레기 연화를 ...하.. 진짜 둘이서 만원주고 봣는데도돈아까움 김무열 연기는 좋네요 음향이나 분위기도 좋은데스토리가 진짜 ㅁOOO중 쓰레기임
1010,2,2020.06.07 10:49,이렇게 엉성할 수가 있을까.. 그래도 연기력은 좋다 문제는 연기만 좋을 뿐 나머지는 끔찍 그 자체
1011,2,2020.06.07 00:11,반전 없는게 반전. 비추
1012,2,2020.06.06 21:20,최악입니다 송지호 연기 뭐가 늘엇다는거죠앞으로 거릅니다평점댓글 알바쓰나요?정말 반전없고 개연성없고 마지막정말 뭐라도 있을까 했는데 하 돈 24000원 날리고 팝콘만 맛있게 먹엇습니다 여러분 평점 높은거 믿지말고 이렇게 진실되게 쓴걸 보세요 제가 여러분 소중한 돈 지켜드렷어요 
1013,10,2020.06.06 19:58,연출 연기 탄탄해요 송지효 배우로서 응원하게 됬습니다
1014,4,2020.06.06 19:46,초반부 긴장감이 있는듯 했으나 후반부로 갈 수록 개연성도 떨어지고 수사력 및 뒤처리가 뭔가 찜찜하네요.결말이 혹시나 염려했던 결말이라 더욱 실망한 영화.기대가 컸던만큼 실망이 컸던 영화.
1015,10,2020.06.05 10:33,송지효 런닝맨에서만 보다가 영화속에서 보니까 다른느낌이네 ㅋㅋ 역시 찐배우
1016,10,2020.06.08 17:39,떡밥들 하나씩 풀리는게 쾌감 장난 아니네ㅋㅋㅋ 이맛에 스릴러보지ㅋㅋㅋ
1017,1,2020.06.08 15:50,딱 OCN용 한국 3류 스릴러.
1018,5,2020.06.08 10:02,그냥 재미없음. 중반까지는 그나마 괜찮은데 하... 그냥 배우가 좋다. 영화보는 내내 명품배우가 아깝다는 생각을 떨쳐버릴 수 없더라
1019,1,2020.06.08 02:25,재미도 없고 억지 연출이 웃겼어요 보면서 뒷장면이 예상되서 지루해요
1020,1,2020.06.07 22:16,최악 유치합니다. 보고 후회한번 해보실분 보세요. 개연성없음
1021,2,2020.06.07 07:30,끝까지 관람한  내 인내심에  박수를?
1022,2,2020.06.06 19:08,와 ~ 평점 왜 이리 높아 ? 알바들이 창궐하다고는들었는데 고민되네    봐 ? 말어? 봐? 말어 볼까말까?
1023,1,2020.06.06 12:07,엄청난 각본과 스토리 이런 영화 너무 오랜만이다개연성이라고는 찾아볼수도 없고 결말도 너무 허무
1024,1,2020.06.08 16:58,"배그유저입니다수류탄,섬광탄,화염병,에땁,쌉존버 모두 다피했는데..이건 못피했습니다 ...피하세요.."
1025,2,2020.06.08 10:21,코로나가 아니였어도 망했을 영화
1026,10,2020.06.07 00:11,재밌네요 샵데일리룩샵
1027,1,2020.06.05 22:31,결국 뻔한 종교스토리...
1028,2,2020.06.04 21:22,아 끝에 진짜 짜증났어요 맹목적인 종교활동이라니 그냥 치밀한 사기집단이 더 나을뻔 ㅠㅠ
1029,2,2020.06.07 10:13,송지효 연기는 정말잘했는데..스토리가 진짜 노답. 여기알바들인가돈아까워죽는줄알았다.막판에 말도안되는 스토리땜에 웃음터져죽는줄알음ㅜㅜ
1030,2,2020.06.07 01:19,평점 높아서 속았어요.
1031,1,2020.06.06 00:59,와 진짜 여기 알바 많이 푼듯ㄷㄷㄷ개인적으로 클레멘타인급이었음돠
1032,10,2020.06.06 23:45,영화 너무 쫄깃하고 재밌었어요. 끝까지 긴장감있어서 시간가는줄 몰랐어요 ㅎㅎ 역시 스릴러는 극장에서 봐야 제맛!! 추천해요!!
1033,1,2020.06.04 21:19,볼영화가없어서 혹시나해서 봤더니 역시나 한국영화ㅋㅋ 한국영화는 보는게아님. 그리고 어떤점이 좋았나요에 좋은점이없는데 왜 무조건 하나 고르라는 거야 ㅅ팔
1034,1,2020.06.04 22:00,티켓 할인 해서 삼천원. 삼천원도 아까운 영화.
1035,1,2020.06.04 21:01,런닝맨 김무열게스트편 잘봤습니다.
1036,1,2020.06.04 20:08,내 인생중 1시간 40분가량을 낭비시킨 영화..배우들 연기하느라 고생하셨습니다. 근데 필모에 도움될것같지는 않네요?
1037,1,2020.06.05 17:29,"초반에 긴장감 좋았는데, 개연성 1도없고 신천지 의식해서 만든거같은데 흥행하려고 억지로 껴맞춰 놓은 촌극에 불과하다. 영화도중에 나와버렸다. 암덩어리 요소가 어찌나 많은지 화밖에 안나는 영화. 결말조차궁금하지않아서 뛰쳐나왔다. 이걸못피하다니. "
1038,1,2020.06.04 23:05,아니 뭐야 OO 이게 뭐야
1039,2,2020.06.04 23:44,예고편만믿고 기대너무해서 그런지 완전별루예염 졸려서 죽는줄ㅜㅜ
1040,6,2020.06.09 08:06,예고편만믿고 기대너무해서 그런지 완전별루예염 졸려서 죽는줄ㅜㅜ
1041,6,2020.06.06 12:45,자꾸 장삐쭈가 광고한 거 생각나네ㅋㅋ
1042,6,2020.06.06 08:08,믿고보는김무열송지효는 처음 등장할때 넉살생각만 안났어도...하
1043,10,2020.06.11 13:11,지효님 스릴러 연기 찰떡인데???
1044,8,2020.06.10 12:32,
1045,7,2020.06.10 00:10,예상이 가는 결말... 아쉬운점이 없지않아 있다. 정신과의사 부분이 소름일수도 있지만 개인적으로는 어이가 없었다. 경찰 뭔가 초반에 할거같이 나오더니 그게 아님 ㅋ
1046,8,2020.06.09 16:26,예상이 가는 결말... 아쉬운점이 없지않아 있다. 정신과의사 부분이 소름일수도 있지만 개인적으로는 어이가 없었다. 경찰 뭔가 초반에 할거같이 나오더니 그게 아님 ㅋ
1047,6,2020.06.08 18:23,긴장감을 불러일으키는 연출이나 배우들의 연기는 참 좋은데 시나리오의 수준이 높지 않다. 왜 그런 상황에서 저렇게 무모하게 행동하는지 집에 불은 왜 안 켜는지 답답할뿐~ 중반 이후로는 모두가 너무 예상대로 움직이는데다 결말도 얼렁뚱땅 모두가 예상한대로 펼쳐짐. 가볍게 보는 용으로 좋음. 학교다닐때 문구점에서 파는 3천원짜리 이야기책 읽은 느낌. 
1048,7,2020.06.07 12:59,고구마... 답..답.. 으소재는 흥미로웠으나 너-무 고구마
1049,7,2020.06.07 05:51,절대적인 종교적 신봉을 통한 손쉬운 전개
1050,8,2020.06.06 16:00,연기좋고 몰입감이 좋아 계속 집중하고 봤음. 허나 중반부부터 개연성이 엉망이고 막장의길로..
1051,9,2020.06.06 08:19,진짜 오랜만에 심장졸이고 봣네요 ㅋㅋ
1052,10,2020.06.06 08:18,어딘가에 진짜 있을수도 있는 이야기..
1053,10,2020.06.06 08:17,단서가 하나하나 맞춰질때마다 나까지 소름이 돋더라
1054,10,2020.06.06 07:49,송지효 등장씬부터 무서워서 보는 내내 숨이 막혔다 아쉬운 부분도 많았지만 일단은 재밌게 봐서 만족!!
1055,6,2020.06.06 06:32,송지효 등장씬부터 무서워서 보는 내내 숨이 막혔다 아쉬운 부분도 많았지만 일단은 재밌게 봐서 만족!!
1056,4,2020.06.06 03:04,아니 그래서 유진이 친자 맞냐고!!
1057,6,2020.06.10 21:34,역시나 마의 후반부 30분에 여지없이 걸리는 영화. 침입자 결백 둘다 비슷한 시간을 남겨놓고 맥이 풀리네요
1058,3,2020.06.10 13:36,"초반까지는 그렇다치는데 중반부터 황당무개.결말은뜬금 삼천포ㅡㅡ. 그냥 스릴러나 복수극이나 갈것이지.어이없는 사이비이야기-,,,.-^  누가 시나리오 쓴건지. 참나.. 배우들 연기만 좋음."
1059,10,2020.06.10 12:36,
1060,6,2020.06.10 07:25,초중까지 좋습니다와결말을 어찌 매듭질까?고민하게되는데갑자기 짬뽕된 결말이 나옵니다ㅜㅜ
1061,6,2020.06.09 23:51,"긴장감도 괜찮고 연기, 초반연출 모두 괜찮았는데 후반에 너무 급전개?라 해야하나 뭔가 너무 김무열씬들이 다 너무 급전개였어요"
1062,10,2020.06.09 15:45,송지효연기너무잘해서 소름돋았어요..오랜만에 영화보니좋아요~
1063,6,2020.06.09 14:51,오랜만에 보는 코미디 영화네요 잘웃었습니다
1064,4,2020.06.09 09:36,스릴러같지 않은 스릴러 ...
1065,10,2020.06.09 09:01,너무 재밌어요 꼭보세요ㅠㅠ
